name,priceUI,reviewCount,urlUI
樂天皇朝,$101-200,498,/zh/hongkong/r-%E6%A8%82%E5%A4%A9%E7%9A%87%E6%9C%9D-%E9%8A%85%E9%91%BC%E7%81%A3-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E4%B8%AD%E5%BC%8F%E5%8C%85%E9%BB%9E-r170063
程班長台灣美食,$51-100,403,/zh/hongkong/r-%E7%A8%8B%E7%8F%AD%E9%95%B7%E5%8F%B0%E7%81%A3%E7%BE%8E%E9%A3%9F-%E8%8D%94%E6%9E%9D%E8%A7%92-%E5%8F%B0%E7%81%A3%E8%8F%9C-%E7%B2%89%E9%BA%B5-%E7%B1%B3%E7%B7%9A-r138997
百樂小館,$201-400,316,/zh/hongkong/r-%E7%99%BE%E6%A8%82%E5%B0%8F%E9%A4%A8-%E5%B0%96%E6%B2%99%E5%92%80-%E6%BD%AE%E5%B7%9E%E8%8F%9C-r185336
老點點心竹筒飯,$51-100,355,/zh/hongkong/r-%E8%80%81%E9%BB%9E%E9%BB%9E%E5%BF%83%E7%AB%B9%E7%AD%92%E9%A3%AF-%E6%97%BA%E8%A7%92-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E9%BB%9E%E5%BF%83-r124481
唐宮小聚,$101-200,226,/zh/hongkong/r-%E5%94%90%E5%AE%AE%E5%B0%8F%E8%81%9A-%E4%B8%AD%E7%92%B0-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E9%BB%9E%E5%BF%83-r185054
名館,$101-200,263,/zh/hongkong/r-%E5%90%8D%E9%A4%A8-%E9%8A%85%E9%91%BC%E7%81%A3-%E5%A4%9A%E5%9C%8B%E8%8F%9C-%E9%BB%9E%E5%BF%83-r478614
正宗水上人氣鍋專門店,$201-400,258,/zh/hongkong/r-%E6%AD%A3%E5%AE%97%E6%B0%B4%E4%B8%8A%E4%BA%BA%E6%B0%A3%E9%8D%8B%E5%B0%88%E9%96%80%E5%BA%97-%E6%97%BA%E8%A7%92-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E7%81%AB%E9%8D%8B-r463027
吞POT 雞煲火鍋.住家菜,$101-200,211,/zh/hongkong/r-%E5%90%9Epot-%E9%9B%9E%E7%85%B2%E7%81%AB%E9%8D%8B-%E4%BD%8F%E5%AE%B6%E8%8F%9C-%E6%97%BA%E8%A7%92-%E6%B8%AF%E5%BC%8F-%E9%9B%9E%E7%85%B2-r490706
陸陸雞煲火鍋,$101-200,251,/zh/hongkong/r-%E9%99%B8%E9%99%B8%E9%9B%9E%E7%85%B2%E7%81%AB%E9%8D%8B-%E6%97%BA%E8%A7%92-%E6%B8%AF%E5%BC%8F-%E9%9B%9E%E7%85%B2-r174182
飲茶,$101-200,211,/zh/hongkong/r-%E9%A3%B2%E8%8C%B6-%E5%B0%96%E6%B2%99%E5%92%80-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E9%BB%9E%E5%BF%83-r472963
尚上下夏 - 養生雞煲火鍋,$101-200,237,/zh/hongkong/r-%E5%B0%9A%E4%B8%8A%E4%B8%8B%E5%A4%8F-%E9%A4%8A%E7%94%9F%E9%9B%9E%E7%85%B2%E7%81%AB%E9%8D%8B-%E5%B0%96%E6%B2%99%E5%92%80-%E6%B8%AF%E5%BC%8F-%E9%9B%9E%E7%85%B2-r179598
九重鮮,$201-400,268,/zh/hongkong/r-%E4%B9%9D%E9%87%8D%E9%AE%AE-%E7%B4%85%E7%A3%A1-%E9%9F%93%E5%9C%8B%E8%8F%9C-%E7%81%AB%E9%8D%8B-r481962
老川皇,$51-100,214,/zh/hongkong/r-%E8%80%81%E5%B7%9D%E7%9A%87-%E6%97%BA%E8%A7%92-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-r184033
合益泰小食,$50以下,551,/zh/hongkong/r-%E5%90%88%E7%9B%8A%E6%B3%B0%E5%B0%8F%E9%A3%9F-%E6%B7%B1%E6%B0%B4%E5%9F%97-%E6%B8%AF%E5%BC%8F-%E4%B8%AD%E5%BC%8F%E5%8C%85%E9%BB%9E-r11291
玉桃軒酒家,$101-200,224,/zh/hongkong/r-%E7%8E%89%E6%A1%83%E8%BB%92%E9%85%92%E5%AE%B6-%E8%A7%80%E5%A1%98-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E9%BB%9E%E5%BF%83-r463419
周記點心,$50以下,167,/zh/hongkong/r-%E5%91%A8%E8%A8%98%E9%BB%9E%E5%BF%83-%E8%A5%BF%E7%92%B0-%E6%B8%AF%E5%BC%8F-%E9%BB%9E%E5%BF%83-r440685
樂天皇朝,$101-200,257,/zh/hongkong/r-%E6%A8%82%E5%A4%A9%E7%9A%87%E6%9C%9D-%E6%97%BA%E8%A7%92-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E4%B8%AD%E5%BC%8F%E5%8C%85%E9%BB%9E-r493529
靚煲皇,$101-200,207,/zh/hongkong/r-%E9%9D%9A%E7%85%B2%E7%9A%87-%E6%97%BA%E8%A7%92-%E6%B8%AF%E5%BC%8F-%E7%81%AB%E9%8D%8B-r172575
好媽媽台灣館,$51-100,203,/zh/hongkong/r-%E5%A5%BD%E5%AA%BD%E5%AA%BD%E5%8F%B0%E7%81%A3%E9%A4%A8-%E5%A4%AA%E5%AD%90-%E5%8F%B0%E7%81%A3%E8%8F%9C-r433483
甜入心,$50以下,276,/zh/hongkong/r-%E7%94%9C%E5%85%A5%E5%BF%83-%E6%B7%B1%E6%B0%B4%E5%9F%97-%E6%B8%AF%E5%BC%8F-%E7%94%9C%E5%93%81-%E7%B3%96%E6%B0%B4-r135959
餃掂手工餃子雲吞專門店,$50以下,218,/zh/hongkong/r-%E9%A4%83%E6%8E%82%E6%89%8B%E5%B7%A5%E9%A4%83%E5%AD%90%E9%9B%B2%E5%90%9E%E5%B0%88%E9%96%80%E5%BA%97-%E5%A4%AA%E5%AD%90-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E7%B2%89%E9%BA%B5-%E7%B1%B3%E7%B7%9A-r185194
村爺爺龍蝦湯.泡飯.燉湯專家,$50以下,201,/zh/hongkong/r-%E6%9D%91%E7%88%BA%E7%88%BA%E9%BE%8D%E8%9D%A6%E6%B9%AF-%E6%B3%A1%E9%A3%AF-%E7%87%89%E6%B9%AF%E5%B0%88%E5%AE%B6-%E6%B2%B9%E9%BA%BB%E5%9C%B0-%E6%B8%AF%E5%BC%8F-%E6%B9%AF%E5%93%81-r475278
城寨風味,$101-200,201,/zh/hongkong/r-%E5%9F%8E%E5%AF%A8%E9%A2%A8%E5%91%B3-%E4%B9%9D%E9%BE%8D%E5%9F%8E-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-r26823
蜀府川鍋,$101-200,186,/zh/hongkong/r-%E8%9C%80%E5%BA%9C%E5%B7%9D%E9%8D%8B-%E6%B2%B9%E5%A1%98-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E7%81%AB%E9%8D%8B-r108611
九重鮮,$201-400,195,/zh/hongkong/r-%E4%B9%9D%E9%87%8D%E9%AE%AE-%E5%A4%A7%E5%9D%91-%E9%9F%93%E5%9C%8B%E8%8F%9C-%E7%81%AB%E9%8D%8B-r450100
麻辣派對,$51-100,163,/zh/hongkong/r-%E9%BA%BB%E8%BE%A3%E6%B4%BE%E5%B0%8D-%E9%8A%85%E9%91%BC%E7%81%A3-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-r494429
一番風味,$51-100,191,/zh/hongkong/r-%E4%B8%80%E7%95%AA%E9%A2%A8%E5%91%B3-%E7%81%A3%E4%BB%94-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-r504928
聰嫂星級甜品,$50以下,237,/zh/hongkong/r-%E8%81%B0%E5%AB%82%E6%98%9F%E7%B4%9A%E7%94%9C%E5%93%81-%E9%8A%85%E9%91%BC%E7%81%A3-%E6%B8%AF%E5%BC%8F-%E7%94%9C%E5%93%81-%E7%B3%96%E6%B0%B4-r112507
麻市滋味館,$101-200,159,/zh/hongkong/r-%E9%BA%BB%E5%B8%82%E6%BB%8B%E5%91%B3%E9%A4%A8-%E4%BD%90%E6%95%A6-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E6%B5%B7%E9%AE%AE-r436332
酒鍋,$201-400,230,/zh/hongkong/r-%E9%85%92%E9%8D%8B-%E9%8A%85%E9%91%BC%E7%81%A3-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E7%81%AB%E9%8D%8B-r512243
新蒸武門,$50以下,185,/zh/hongkong/r-%E6%96%B0%E8%92%B8%E6%AD%A6%E9%96%80-%E8%A7%80%E5%A1%98-%E6%B8%AF%E5%BC%8F-%E6%B9%AF%E5%93%81-r440319
榮哥廚房私房菜,$201-400,147,/zh/hongkong/r-%E6%A6%AE%E5%93%A5%E5%BB%9A%E6%88%BF%E7%A7%81%E6%88%BF%E8%8F%9C-%E8%A7%80%E5%A1%98-%E5%A4%9A%E5%9C%8B%E8%8F%9C-r510459
品香樓中西風味餐廳,$50以下,480,/zh/hongkong/r-%E5%93%81%E9%A6%99%E6%A8%93%E4%B8%AD%E8%A5%BF%E9%A2%A8%E5%91%B3%E9%A4%90%E5%BB%B3-%E7%9F%B3%E7%A1%A4%E5%B0%BE-%E6%B8%AF%E5%BC%8F-r7601
尚素,$101-200,164,/zh/hongkong/r-%E5%B0%9A%E7%B4%A0-%E8%A7%80%E5%A1%98-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E7%B4%A0%E9%A3%9F-r501681
名館,$201-400,134,/zh/hongkong/r-%E5%90%8D%E9%A4%A8-%E4%B8%AD%E7%92%B0-%E5%A4%9A%E5%9C%8B%E8%8F%9C-%E9%BB%9E%E5%BF%83-r528241
飲茶,$101-200,132,/zh/hongkong/r-%E9%A3%B2%E8%8C%B6-%E4%B8%AD%E7%92%B0-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E9%BB%9E%E5%BF%83-r475054
心夜來潮,$51-100,221,/zh/hongkong/r-%E5%BF%83%E5%A4%9C%E4%BE%86%E6%BD%AE-%E8%8D%83%E7%81%A3-%E6%BD%AE%E5%B7%9E%E8%8F%9C-%E6%B5%B7%E9%AE%AE-r484385
大公館,$201-400,161,/zh/hongkong/r-%E5%A4%A7%E5%85%AC%E9%A4%A8-%E8%8D%94%E6%9E%9D%E8%A7%92-%E5%A4%9A%E5%9C%8B%E8%8F%9C-%E9%85%92-r460634
煮打菜打冷小菜館,$51-100,152,/zh/hongkong/r-%E7%85%AE%E6%89%93%E8%8F%9C%E6%89%93%E5%86%B7%E5%B0%8F%E8%8F%9C%E9%A4%A8-%E7%AD%B2%E7%AE%95%E7%81%A3-%E6%BD%AE%E5%B7%9E%E8%8F%9C-r108100
心夜來潮,$51-100,176,/zh/hongkong/r-%E5%BF%83%E5%A4%9C%E4%BE%86%E6%BD%AE-%E6%97%BA%E8%A7%92-%E6%BD%AE%E5%B7%9E%E8%8F%9C-%E6%B5%B7%E9%AE%AE-r497245
老掌櫃東北菜館,$51-100,160,/zh/hongkong/r-%E8%80%81%E6%8E%8C%E6%AB%83%E6%9D%B1%E5%8C%97%E8%8F%9C%E9%A4%A8-%E5%A4%A7%E8%A7%92%E5%92%80-%E4%BA%AC%E5%B7%9D%E6%BB%AC-%E7%B2%89%E9%BA%B5-%E7%B1%B3%E7%B7%9A-r172820
玉桃軒酒家,$101-200,158,/zh/hongkong/r-%E7%8E%89%E6%A1%83%E8%BB%92%E9%85%92%E5%AE%B6-%E9%8A%85%E9%91%BC%E7%81%A3-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E9%BB%9E%E5%BF%83-r3662
籠太子點心專門店,$50以下,181,/zh/hongkong/r-%E7%B1%A0%E5%A4%AA%E5%AD%90%E9%BB%9E%E5%BF%83%E5%B0%88%E9%96%80%E5%BA%97-%E5%A4%AA%E5%AD%90-%E6%B8%AF%E5%BC%8F-%E9%BB%9E%E5%BF%83-r179570
尚鮮火鍋海鮮料理,$201-400,133,/zh/hongkong/r-%E5%B0%9A%E9%AE%AE%E7%81%AB%E9%8D%8B%E6%B5%B7%E9%AE%AE%E6%96%99%E7%90%86-%E9%8A%85%E9%91%BC%E7%81%A3-%E6%B8%AF%E5%BC%8F-%E7%81%AB%E9%8D%8B-r458319
美味餃子店,$50以下,129,/zh/hongkong/r-%E7%BE%8E%E5%91%B3%E9%A4%83%E5%AD%90%E5%BA%97-%E5%A4%AA%E5%AD%90-%E6%B8%AF%E5%BC%8F-%E7%B2%89%E9%BA%B5-%E7%B1%B3%E7%B7%9A-r193798
小漁港海鮮舫 鮮蒸‧鮮味火鍋,$201-400,146,/zh/hongkong/r-%E5%B0%8F%E6%BC%81%E6%B8%AF%E6%B5%B7%E9%AE%AE%E8%88%AB-%E9%AE%AE%E8%92%B8-%E9%AE%AE%E5%91%B3%E7%81%AB%E9%8D%8B-%E5%A4%AA%E5%AD%90-%E6%B8%AF%E5%BC%8F-%E7%81%AB%E9%8D%8B-r499140
潮樂園,$51-100,181,/zh/hongkong/r-%E6%BD%AE%E6%A8%82%E5%9C%92-%E5%8C%97%E8%A7%92-%E6%BD%AE%E5%B7%9E%E8%8F%9C-%E7%B2%89%E9%BA%B5-%E7%B1%B3%E7%B7%9A-r188551
潮福蒸氣石鍋,$201-400,147,/zh/hongkong/r-%E6%BD%AE%E7%A6%8F%E8%92%B8%E6%B0%A3%E7%9F%B3%E9%8D%8B-%E6%97%BA%E8%A7%92-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E7%81%AB%E9%8D%8B-r450555
卅二公館,$401-800,118,/zh/hongkong/r-%E5%8D%85%E4%BA%8C%E5%85%AC%E9%A4%A8-%E4%B8%AD%E7%92%B0-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-fine-dining-r166406
玉桃軒酒家,$101-200,135,/zh/hongkong/r-%E7%8E%89%E6%A1%83%E8%BB%92%E9%85%92%E5%AE%B6-%E5%A4%AA%E5%8F%A4-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E9%BB%9E%E5%BF%83-r82173
